Engelhardt Gunther;;;Der Beitrag der Finanzpsychologie zu einer rationalen Steuerpolitik;;;;-;;Druckerzeugnis;in: Wirtschaftstheorie als Verhaltenstheorie Heft II;Haupt-Bibliothek;;Berlin;Duncker & Humblot;1969;YL1;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Widhalm Christian;;;Besteuerung von Investmentfonds und Kapitalverkehrsfreiheit;;;;-;119-160;Druckerzeugnis;In: Ruppe, Hans G., Sedlaczek, Michael & u.a., (Hrsg.): Kapitalverkehrsfreiheit und Steuerrecht;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
EG;;;Überprüfter Vorschlag für eine Richtlinie des Rates zur Änderung der Richtlinie 71/305 EWG über die Koordination der Verfahren zur Vergabe öffentlicher Bauaufträge;;;;ISSN 0376-9461;50-69;Druckerzeugnis;in: Amtsblatt der Europäischen Gemeinschaften, Mitteilungen und Bekanntmachungen, Nr. 89/C 115/04;Haupt-Bibliothek;;Luxemburg;EG;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Bull Hans Peter;;;Zum Wandel öffentlicher Aufgaben und Staatsfinanzen;;;;3-7890-1937-2;31-39;Druckerzeugnis;In: Hesse-Joachim Jens- und andere: Der Staat der Zukunft;Haupt-Bibliothek;;Baden-Baden;Nomos;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Forte F.;;;Italien;;;;;105-124;Druckerzeugnis;In: Kommission der Europäischen Gemeinschaften: Bericht der Sachverständigengruppe zur Untersuchung der Rolle der öffentlichen Finanzen bei der europäischen Integration;Haupt-Bibliothek;;Brüssel;;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Wissenschaftliches Institut der Ostkrankenkassen;;;Ausgewogene Absicherung von Gesundheitsrisiken;;;;3.922093.05.0;210;Druckerzeugnis;Gutachten erstellt im Auftrag des Senators für Gesundheit, Soziales und Familie des Landes Berlin;Haupt-Bibliothek;AF 207;Bonn;WIdO;1984;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Mutén Leif;;;Die Schaukelbrettendenz in der internationalen Steuerplanung;;;;-;827-840;Druckerzeugnis;In: Dann, Wilfried, Ehrlicher, Werner & etc., (Hrsg.): Unternehmenspolitik und Internationale Besteuerung;Haupt-Bibliothek;;;;;LD;;;Interkantonales/Internationales Steuerrecht;Deutschland;
Gauss Richard;;;Bevölkerungsentwicklung und Sicherheit der Pensionen;;;;;17;Druckerzeugnis;Zur Frage der Berücksichtigung der Bevölkerungsentwicklung im Alterssicherungssystem;Separata;AF Sep. 29;Wien;Institut für Finanzwirtschaft und Steuerrecht;1995;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Voigt Rüdiger;;;Ein neues Steuerungsparadigma?;;;;-;33-93;Druckerzeugnis;In: Voigt-Rüdiger: Der kooperative Staat Auf der Suche nach einem neuen Steuerungsmodus;Haupt-Bibliothek;;;;;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;
Grochla Erwin;;;Die Kalkulation von öffentlichen Aufträgen;;;;;130;Druckerzeugnis;Eine Anleitung nach den Bestimmungen der VPöA und LSP;Haupt-Bibliothek;BB 104;Berlin;Duncker & Humblot;1954;YL1;YR;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Gewerbepolitik. Einzelne Wirtschaftszweige";Allgemeines
Korinek Karl;;;Die Bedeutung des Gemeinschaftsrechts für das verfassungsgerichtliche Verfahren;;;;-;31-46;Druckerzeugnis;In: Holoubek, Michael & Lang, Michael, (Hrsg.): Das verfassungsgerichtliche Verfahren in Steuersachen;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;
Morse Ellsworth H.;;;Amélioration de la vérification des gouvernements locaux;;;;;2;Druckerzeugnis;Revue internationale de la vérification des comptes publics;Separata;VE Sep. 01;Toronto;;1975;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Hemetsberger-Koller Hildegard;;;Der wirtschaftspolitische Hintergrund des Doppelbesteuerungsabkommens zwischen Österreich-Ungarn und Preussen 1899;;;;-;13-40;Druckerzeugnis;In: Lang, Michael, Gassner, Wolfgang & u. a., (Hrsg.): Die Zukunft des Internationalen Steuerrechts;Haupt-Bibliothek;;Wien;Linde Verlag Wien Ges.m.b.H.;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Kröner Michael;;;Ausweitung der Besteuerung privater Veräusserungsgewinne bei Beteiligung an Kapitalgesellschaften;Gesetzgeberisches Dilemma-technische Umsetzungsprobleme und Gestaltungshinweise;;;3 504 62642 9;193-228;Druckerzeugnis;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;Haupt-Bibliothek;;Köln;Otto Schmidt;;PF;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Vermögensertrag;
Schwarting Gunnar;;;Der kommunale Haushalt;;;;3 503 03456 0;273;Druckerzeugnis;Haushalts- und Kassenwesen - Haushaltssteuerung - Rechnungswesen;Haupt-Bibliothek;EC 106;Berlin;Erich Schmidt;1993;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
EG-Kommission;;;Die Europäer und ihre Umwelt 1986;;;;;102;Druckerzeugnis;;Haupt-Bibliothek;AJ 340;Brüssel;EG;1986;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Millenaar K.;;;Die Mehrwertsteuer in den Niederlanden;;;;-;55-67;Druckerzeugnis;In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.;Haupt-Bibliothek;;;;;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;
Geertmann Joannes;;;Die Steuerpolitik internationaler Konzerne;;;;-;;Druckerzeugnis;in: Steuern und Unternehmungspolitik, S. 25 ff.;Haupt-Bibliothek;;;;;PE;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;
Brown A. J.;;;Vereinigtes Königreich;;;;;47058;Druckerzeugnis;In: Kommission der Europäischen Gemeinschaften: Bericht der Sachverständigengruppe zur Untersuchung der Rolle der öffentlichen Finanzen bei der europäischen Integration;Haupt-Bibliothek;;Brüssel;;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Roth Andreas;;;Aktuelle Fragen der Betriebsstättenbesteuerung unter Berücksichtigung des Entwurfs eines Betriebsstättenerlasses;;;;3 504 62642 9;411-426;Druckerzeugnis;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;Haupt-Bibliothek;;Köln;Otto Schmidt;;KB;;;Ausländisches Steuerrecht;Deutschland;
Statistisches Bureau des Kantons Bern;;;Die Entwicklung des Fremdenverkehrs im Kanton Bern von 1949-1967 in der Sicht der Statistik (Tabenllenband);;;;;220;Druckerzeugnis;;Separata;AJ Sep. 35;Bern;Kommissionsverlag Stauffacher;1968;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Deloitte Touche Tohmatsu;;;Corporate and Withholding Tax Rates;Between Major Trading Nations 1992 Edition;;;;131;Druckerzeugnis;;Haupt-Bibliothek;KA 347;New York;Deloitte Touche Tohmatsu;1992;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;
Denison E. F.;;;An Aspect of Unequal Opportunity;;;;;7-;Druckerzeugnis;;Separata;AG Sep. 40 a;;;1971;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Märkt Jörg;;;Steuern als Preise;;;;3-448-05614-6;430;Druckerzeugnis;Zur Notwendigkeit einer Besteuerung ohne Trittbrettfahrer angesichts des Steuerwettbewerbs- Schriftenreihe des Instituts für Allgemeine Wirtschaftsforschung der Albert-Ludwigs-Uni Freiburg;Haupt-Bibliothek;YL8 009;Freiburg;Rudolf Haufe;2003;YL8;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeine Steuerlehre, Steuersystem einzelner Länder
Bundesversammlung;;;Botschaft des Bundesrates an die Bundesversammlung zum Entwurf eines Bundesgesetzes über den eidgenössischen Finanzhaushalt;;;;;50;Druckerzeugnis;;Separata;VA Sep. 06;;;1968;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Olins Wally;;;Design in Corporate Strategy;;;;-;137-143;Druckerzeugnis;in: ISC (Hrsg.), The Spirit of Competition;Haupt-Bibliothek;;;;;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;
Sedlaczek Michael;;;Der Begriff der Diskriminierung und der Beschränkung;die Kapitalverkehrsfreiheit als konvergente Grundfreiheit des EG-Vertrages;;;-;27-62;Druckerzeugnis;In: Ruppe, Hans G., Sedlaczek, Michael & u.a., (Hrsg.): Kapitalverkehrsfreiheit und Steuerrecht;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Fürböck Karl;;;Die Pensionsreform;;;;;10;Druckerzeugnis;Leistungsrechtliche und finanzielle Auswirkungen;Separata;AF Sep. 27;Wien;Institut für Finanzwissenschaft und Steuerrecht;1984;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Zörner Hendrik;;;Der Weg ist das Ziel;;;;;14-15;Druckerzeugnis;;Separata;EK Sep. 03;;;1993;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Bundesministerium der Finanzen;;;Administrierbarkeit der Modelle zur Unternehmensteuerreform bei Finanzverwaltung-Steuerpflichtigen und Steuerberatern;;;;;81;Druckerzeugnis;- Ergebnisse der Planspiele und des Modellvergleichs - Abschlussbericht 1999;Haupt-Bibliothek;KB 192;Bonn;Stollfuss;2000;KB;;;Ausländisches Steuerrecht;Deutschland;
Lechner Eduard;;;Die Behandlung von Dividenden nach dem neuen DBA Österreich-Deutschland;;;;-;81-96;Druckerzeugnis;in: Gassner, Wolfgang, Lang, Michael & u.a., (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich-Deutschland;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Spacek Leonard;;;A search for fairness in financial reporting to the public;;;;;582;Druckerzeugnis;;Haupt-Bibliothek;WA 217;Chicago;Arthur Andersen;1969;YP;;;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;
Dellmann K.;;;Prozesskostenrechnung für Massnahmen- und Ressourcenentscheidungen in der Verwaltung;;;;-;45778;Druckerzeugnis;In: Hess-John (Hrsg.): Controlling in der öffentlichen Verwaltung;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Dahlmanns Tanja;;;Tagungsbericht;Kolloquium zur Beschleunigung der Betriebsprüfung;;;-;67;Druckerzeugnis;IFSt-Schrift 467;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;
Garvey Gerald J.;Dilulio John J., Jr.;;Sources of Public Service Overregulation;;;;0.8157.1854.3;13850;Druckerzeugnis;In: Dilulio John J. Jr. und andere (ed.)- Deregulating the Public Sector;Haupt-Bibliothek;;Washington;Brookings Institution;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Amt für Bundesbauten;;;Bericht Leistungsauftrag im Bauwesen des Bundes;;;;-;;Druckerzeugnis;vorgelegt vom Amt für Bundesbauten im Auftrag des Eidg. Departement des Inneren;Haupt-Bibliothek;EF 217;Bern;Amt für Bundesbauten;1996;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Franz Alfred;;;Die Input-Struktur des Bundes;;;;;9;Druckerzeugnis;Ein neuer Aspekt des Bundeshaushaltes dargestellt am Beispiel des Jahres 1970;Separata;VG Sep. 02;Wien;Institut für Finanzwissenschaft und Steuerrecht;1974;YL2;YL7;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Ax Rolf;Grosse Thomas;Melchior Jürgen;Abgabenordnung und Finanzgerichtsordnung;;;;3-8202-1208-6;734;Druckerzeugnis;16. A.;Haupt-Bibliothek;KB 156;Stuttgart;Schäffer;1999;KB;;;Ausländisches Steuerrecht;Deutschland;
Brookings Institution;;;A Supply-Side Budget;;;;;14;Druckerzeugnis;;Separata;AK Sep. 116;Washington;Brookings;1981;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;
Garrigue Civil Jean;;;Die Mehrwertsteuer in Frankreich;;;;-;47-54;Druckerzeugnis;In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.;Haupt-Bibliothek;;;;;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;
von Armin Hans Herbert;;;Wirtschaftlichkeit als Kontrollmassstab des Rechnungshofs. Zugleich ein Beitrag zur Frage der demokratischen Legitimation der Rechnungshöfe;;;;-;259-279;Druckerzeugnis;In: Zavalberg-Heinz Günter (Hrsg.)- und andere: Die Kontrolle der Staatsfinanzen - Geschichte und Gegenwart - 1714 - 1989;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Proxmire William;;;An Economic Progile of Mainland China;;;;;659;Druckerzeugnis;Joint Economic Committee of the U.S. Congress;Haupt-Bibliothek;AA 201;New York;Frederick A. Praeger;1968;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;
Dézsy Josef M.;;;Anreize und Steuerungsmöglichkeiten durch Preisvorgaben im Krankenhaus;;;;;50-59;Druckerzeugnis;Das Krankenhaus 2/1988;Separata;X Sep. 06;;;1988;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Widhalm Christian;;;Der 'foreign ownership test' und der 'base erosion test' als Voraussetzung für die Abkommensberechtigung;;;;-;91-109;Druckerzeugnis;In: Gassner, Wolfgang, Lang, Michael & Lechner, Eduard, (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich - USA. Abkommenspraxis im Spannungsfeld zwischen OECD- und US-Musterabkommen;Haupt-Bibliothek;;Wien;Linde;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Herbeck Gabriele;;;Die Schattenwirtschaft;;;;-;7;Druckerzeugnis;;Separata;AC Sep. 12;Wien;Institut für Finanzwissenschaft und Steuerrecht;1985;YL1;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Weber-Grellet Heinrich;;;Der Apotheker-Fall;Neue Entwicklungen im Bilanzsteuerre;;;3 504 62642 9;275-308;Druckerzeugnis;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;Haupt-Bibliothek;;Köln;Otto Schmidt;;JB;;;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;
Gassner Wolfgang;;;Anwendung des Abkommens in bestimmten Fällen (Art 28 DBA-Entwurf);;;;-;269-292;Druckerzeugnis;in: Gassner, Wolfgang, Lang, Michael & u.a., (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich-Deutschland;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Mascarenhas R. C.;;;Building an Enterprise Culture in the Public Sector;Reform ot the PublicSctor in Australia-Britain-and New Zealand;;;;10;Druckerzeugnis;;Separata;EA Sep. 12;Wellington;;1993;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Bank J. Vontobel & Co. AG;;;Die Schweiz im Europa der 90er Jahre;;;;;143;Druckerzeugnis;;Haupt-Bibliothek;KA 138;Zürich;Bank Vontobel;1988;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;
