Saile Peter;Das Recht der Ausgabenbewilligung der zürcherischen Gemeinden;0;214;Druckerzeugnis;37960;0;Haupt-Bibliothek;GB 111;St. Gallen;Schweiz. Institut für Verwaltungskurse;1991;0;GB;0;0;Finanzrecht;Finanzreferendum;0
Walter Philip;Die steuerliche Gewinnberichtigung bei den Partnerwerken der Elektrizitätswirtschaft nach Art. 58 Abs. 3 DGB;3 258 05417 7;304;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;PN 107;Bern/Stuttgart/Wien;Paul Haupt;1996;0;PN;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Besondere Arten von juristischen Personen;0
Ufer Jörg;Die demokratischen Grundlagen der funktionalen Finanzwirtschaften;-;105;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;AC 116;Berlin;Duncker & Humblot;1966;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Känzig Ernst;Die steuerrechtliche Behandlung der Veräusserung von Unternehmungen und Unternehmungsanteilen;0;87-107;Druckerzeugnis;37960.34653;In: diverse, (Hrsg.): Festschrift für Irene Blumenstein - Überreicht zum 70. Geburtstag am 23. April 1966;Haupt-Bibliothek;-;Bern;Genossenschaftsbuchdruckerei;-;0;PK;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Besteuerung juristischer Personen, Kapitalgesellschaften;0
Kaldor Nicholas;The income burden of capital taxes;0;0;Druckerzeugnis;38048.62431;in. Chapman/S. J./Young Allyn A./andere: Readings in the Economics of Taxation;Haupt-Bibliothek;-;London;George Allen & Unwin Ltd.;-;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Friedmann Lewis B.;Budgeting Municipal Expenditures;0-275-09630-0;245;Druckerzeugnis;37960.34653;A Study in Comparative Policy Making;Haupt-Bibliothek;VB 149;London;Praeger Publishers;1975;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Klein Friedrich/Barbey Günther;Bundesverfassungsgericht und Rückwirkung von Gesetzen;-;138;Druckerzeugnis;37960.34653;Institut 'Finanzen und Steuern', Heft 72;Haupt-Bibliothek;JD 101;Bonn;Wilhelm Stollfuss Verlag;1964;0;JD;0;0;Allgemeine Steuerrechtsliteratur;Grundsätze der Rechtsanwendung;0
Prognos;Beurteilung der Einflüsse von Energiepreisänderungen auf die Energienachfrage und ihre prognostischen und energiepolitischen Konsequenzen;0;153;Druckerzeugnis;37960.34653;Studie der Prognos AG im Auftrag des Eidg. Amtes für Energiewirtschaft;Haupt-Bibliothek;AG 305;Basel;Prognos;1977;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
OECD;Bildung Kompakt;92-64-54405-4;371;Druckerzeugnis;37960.34653;OECD-Indikatoren;Haupt-Bibliothek;EJ 148;Paris;OECD;1995;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Statistisches Bureau des Kantons Bern;Aufgaben der Finanzkontrolle;0;30;Druckerzeugnis;37960.34653;0;Separata;VE Sep. 04;Bern;Statistisches Bureau des Kanton Bern;1969;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Giroud Charles/Purtschert Robert/Schwarz Peter;Das Freiburger Management-Modell für Nonprofit-Organisationen (NPO);3-258--05110-0;166;Druckerzeugnis;38322;0;Haupt-Bibliothek;EF 208;Bern, Stuttgart, Wien;Paul Haupt;1995;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Nigro/Lloyd G./Richardson/William D.;Foundations;0-934540-86-1;44256;Druckerzeugnis;37960.34653;In: Ingraham-Patricia W.- Kettl-Donald F.: Agenda for Excellence: Public Service in America The Founder's Unsentimental View of Public Service in the American Regime;Haupt-Bibliothek;-;Chatham, New Jersey/USA;Chatham House Publishers, Inc.;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
IFSt;IFSt-Heft 059 - Bd. 1;-;91;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;Z 152 059.1;Bonn;Stollfuss-Verlag;1959;0;Z;0;0;Zeitschriften;0;0
Weinsheimer Willi;Die Auslegung gegen den Wortlaut im Steuerrecht;0;94;Druckerzeugnis;37960;0;Haupt-Bibliothek;JD 317;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer GmbH;1958;0;JD;0;0;Allgemeine Steuerrechtsliteratur;Grundsätze der Rechtsanwendung;0
Friedrich-Wilhelm Behmenburg;Die langfristige Investitionsplanung der Gemeinden;0;97;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;EC 107;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer GmbH;1962;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Feurer P.;Der Euromarkt-seine Risiken und seine Rückwirkungen auf die schweizerische Wirtschaft;0;S. 10 ff;Druckerzeugnis;38236;Referat gehalten an der GV des Schweiz. Bankvereins, Bulletin Nr. 1, 1970;Separata;AK Sep. 324;Basel;Schweizerischer Bankverein;1970;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Krause-Junk Gerold;Automatismen versus Autonomie;-;59-111;Druckerzeugnis;37960.34653;In: Geyer Herbert/andere: Budgetpolitik im Wandel;Haupt-Bibliothek;-;-;-;-;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Wilk Stefan;Die einkommensteuerrechtliche Behandlung von Auslandsverlusten;3-428-10040-9;282;Druckerzeugnis;37960;Eine systematisch-methodische, verfassungs- und europarechtliche Untersuchung;Haupt-Bibliothek;KB 163;Berlin;Duncker & Humblot;2000;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Ebner Fritz;Die gesamtwirtschaftliche Förderung von Berggebieten;0;10;Druckerzeugnis;37960.34653;0;Separata;AG Sep. 67;Zürich;Gesellschaft zur Förderung der schweiz. Wirtschaft;1973;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Stauffer Hans-Ulrich;Die berufliche Vorsorge BVG / FZG / ZGB / OR;3 7255 3514 0;231;Druckerzeugnis;37960;0;Haupt-Bibliothek;WB 237;Zürich;Schulthess Polygraphischer Verlag;1996;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
Bürgisser-Peters Petra;Staatliche Altersvorsorge: Solidarität in jeder Hinsicht?;3.7190.1040.6;207-234;Druckerzeugnis;37960.34653;In: Frey René/Leu Robert (Hrsg.): Der Sozialstaat unter der Lupe;Haupt-Bibliothek;-;Basel/Frankfurt;Helbing & Lichtenhahn;1988;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Brainin Josef;Bürger: Client - Server: Justiz;0;56;Druckerzeugnis;38051;Informationstechnik als Antrieb der Erneuerung;Haupt-Bibliothek;EA 286;Wien;Bundesministerium für Justiz;1997;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Giger Markus;Die Regionalisierung des öffentlichen Verkehrs;0;195;Druckerzeugnis;37960.34653;Dissertation HSG, Nr. 1240;Haupt-Bibliothek;AJ 359;Bern;Paul Haupt;1991;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Gutting Bernd;Der Einfluss der Besteuerung auf die Entwicklung der Wohnungs- und Baulandmärkte;3.8204.9506.1;298;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;AJ 336;Frankfurt;Peter Lang;1986;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Recktenwald Horst Claus;Das Kapitalbudget in finanz- und volkswirtschaftlicher Sicht;0;41;Druckerzeugnis;37960.34653;Recht und Staat;Haupt-Bibliothek;VB 107;Tübingen;J.C.B. Mohr;1962;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Dällenbach Jean-François/Fiala Eduard/Hagemann Susanne;Die Dienstleistungsfunktion der Hochschulen: Eine Entdeckungsreise;Form 320.301d 1.87 A36093;325;Druckerzeugnis;38322;0;Haupt-Bibliothek;EF 174;Bern;EDMZ;1986;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Maass Jürgen;Die Flexibilität der Staatsausgaben;3-531-02305-5;256;Druckerzeugnis;37960.34653;Ein Beitrag zur Theorie der öffentlichen Ausgabenpolitik - Forschungsberichte des Landes Nordrhein-Westfalen Nr. 2305;Haupt-Bibliothek;BF 112 2;Opladen;Westdeutscher Verlag;1973;0;BF;YL2;0;0;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Elektrowatt AG;Die Umweltbelastung im Energiebereich;0;55 + Anhang;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;AG 306;0;0;1976;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Parsche Rüdiger/Seidel Bernhard/u.a.;Die Beseitigung von Steuergrenzen in der Europäischen Gemeinschaft;3.428.06387.2;461;Druckerzeugnis;37960.34653;Vorteile und Probleme einer Harmonisierung von Mehrwertsteuer und Verbrauchsteuern im europäischen Binnenmarkt;Haupt-Bibliothek;AK 1200;Berlin;Duncker & Humblot;1988;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Nitzan Shmuel/Paroush Jacob;Collective Decision Making;0-521-30326-5;125;Druckerzeugnis;37960.34653;An Economic Outlook;Haupt-Bibliothek;AK 1134;Cambridge;Cambridge University Press;1985;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Morandi Sandra;Die Begrenzung der Steuerlast durch verfassungsrechtliche Bindungen des schweizerischen Steuergesetzgebers;-;235;Druckerzeugnis;37960.34653;Diss. Nr. 2070 der HSG;Haupt-Bibliothek;JD 145;Bamberg;Difo-Druck GmbH;1997;0;JD;0;0;Allgemeine Steuerrechtsliteratur;Grundsätze der Rechtsanwendung;0
Walcher Frank;Das Planungs- und Steuerungssystem der staatlichen Verkehrspolitik zur Regulierung der Verkehrsmärkte;3.428.04183.6;176;Druckerzeugnis;37960.34653;Zur Legitimation und Effizienz verkehrspolitischer Massnahmen in einer Marktwirtschaft;Haupt-Bibliothek;AJ 271;Berlin;Duncker & Humblot;1978;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Hamermesh Daniel S.;Subsidies for Jobs in the Private Sector;0.8157.6892.3;87-122;Druckerzeugnis;37960.34653;In: Palmer-John L. (Hrsg.): Creating Jobs - Public Employment Programs and Wage Subsidies;Haupt-Bibliothek;-;Washington, D.C.;The Brookings Institution;1978;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Flechtheim Ossip K.;Zeitschrift für Zukunftsforschung 'Futurum';0;102 ff;Druckerzeugnis;37960.34653;0;Haupt-Bibliothek;VB 122;Meisenheim am Glan;Verlag Anton Hain;1969;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Strasser Daniel;Die Finanzen Europas;92.825.2746.8;415;Druckerzeugnis;37874;0;Haupt-Bibliothek;FB 132;Brüssel;EG;1982;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Schädler Reinhard;Demokratische Tendenzen in der Pflege der Verwaltungswissenschaft;3 428 02637 3;159-179;Druckerzeugnis;37960.34653;In: Knöpfle Franz- und diverse andere: Demokratie und Verwaltung;Haupt-Bibliothek;-;Berlin;Duncker & Humbolt;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Meier-Schatz Christian J./Forstmoser Peter/etc.;Die GmbH und ihre Reform - Perspektiven aus der Praxis;3 7255 4016 0;141;Druckerzeugnis;38023;0;Haupt-Bibliothek;WC 237;Zürich;Schulthess Juristische Medien AG;2000;0;WC;0;0;Uebrige Literatur;Privatrecht;0
Pestalozzi Simone R.;Die mehrwertsteuerliche Behandlung von Leistungen im Zusammenhang mit Telekommunikation;-;222;Druckerzeugnis;37960.34653;Dissertation Nr. 2361 der Universität St.Gallen, Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften (HSG), zur Erlangung der Würde einer Doktorin der Rechtswissenschaft;Haupt-Bibliothek;QB 223 1;Bamberg;Difo-Druck OHG;2000;0;QB;0;0;Verbrauchsteuern;Umsatzsteuer;0
-;Die neue Steuerpraxis (NStP) - Aktuelle Nummer;0;0;Druckerzeugnis;37960.34653;Monatsschrift für bernisches und eidgenössisches Steuerrecht;Sekr. Steuerrecht;Z 100;Bern;Rub Media;aktuell;0;Z;0;0;Zeitschriften;0;0
Lewis Wilfred J. R./und andere;Budget Concepts for Economic Analysis;0-8157-5237-7 paper 0-8157-5238-5 cloth;188;Druckerzeugnis;37960.34653;2.A.;Haupt-Bibliothek;VB 118 3;Washington;The Brooking Institution;1972;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Nasini Pietro;Die Steuerpolitik der EWG-Kommission;-;43709;Druckerzeugnis;37960.34653;In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.;Haupt-Bibliothek;-;-;-;-;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Borner Silvio;Die steuerliche Attraktivität Basels;0;28;Druckerzeugnis;37960;Eine Analyse der Auswirkungen der Steuerrevision BS auf das Belastungsgefälle BS/BL;Haupt-Bibliothek;AJ 379;Basel;WWZ;1989;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Shubik Martin;Game-Theory in the Social Sciences - Vol. 2;0.262.19219.5;722;Druckerzeugnis;37960.34653;A Game-Theoretic Approach to Political Economy;Haupt-Bibliothek;AK 1141 2;Cambridge;The MIT Press;1984;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Brüngger Heinrich;Die Nutzen-Kosten-Analyse als Instrument der Planung im Gesundheitswesen;3.7255.1585.9;228;Druckerzeugnis;37960.34653;Basler Dissertation, 1974;Haupt-Bibliothek;BG 126;Zürich;Schulthess Polygraphischer Verlag;1974;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Koslowski Peter/Kreuzer Philipp/andere;Chancen und Grenzen des Sozialstaats;3.16.344712.0;257;Druckerzeugnis;38322;Staatstheorie, Politische Ökonomie, Politik;Haupt-Bibliothek;AF 200;Tübingen;J. C. B. Mohr (Paul Siebeck);1983;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
