Flick Hans;Wassermeyer Franz;Baumhoff Hubertus;Aussensteuerrecht;Bd. III;0;0;3-504-26041-6;;Loseblattwerk;Kommentar;KB 308 3;KÃ¶ln;Otto Schmidt;2017;iff_doc_missing;CSV line 1;155189379;0;0;;;
Badenhoop Reinhard K. J.;0;0;Bibliographie zur Organisation von Staat-Verwaltung-Wirtschaft;Bd. 1;0;0;0;766;Druckerzeugnis;0;EA 108 1;Köln;Grote'sche Verlagsbuchhandlung;1966;HSB01duplicate;991165;324695;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=324695;;
Bray Jeremy;0;0;Decision in Government;0;0;0;0;311;Druckerzeugnis;0;AD 115;London;Victor Gollancz Ltd;1970;HSB01duplicate;991173;292663;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=292663;;
Palmer John L.;0;0;Creating Jobs Public Employment Programs and Wage Subsidies;0;0;0;0.8157.6892.3;370;Druckerzeugnis;0;AG 323;Washington;Brookings Institution;1978;HSB01duplicate;991181;345359;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=345359;;
Brauchli Werner;0;0;Das Phänomen der Stagflation Versuch einer theoretischen Klärung;0;0;0;0;321;Druckerzeugnis;Dissertation der Hochschule St. Gallen, Nr. 571;AG 230;St. Gallen;ok Organisation Kolb;1975;HSB01duplicate;991189;139255;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=139255;;
Funk Philip;0;0;Der Begriff der Gewinnungskosten nach schweizerischem Einkommenssteuerrecht;0;0;0;3 7253 0350 9;267;Druckerzeugnis;St.Galler Dissertation Reihe Öffentliche Finanzen, Bd. 5;PC 404;Chur;Rüegger;1989;bestcase;16875;;;;;;
Stadie Holger;0;0;UStG;Kommentar;0;0;978-3-504-24327-2;1396;Druckerzeugnis;1. A.;QB 379;Köln;Otto Schmidt Verlag;2009;replacefromSwissbib;991205;292450508;0;0;https://www.swissbib.ch/Record/292450508;;
Denison E. F.;0;0;An Aspect of Unequal Opportunity;0;0;0;0;7-;Druckerzeugnis;0;AG Sep. 40 a;0;0;1971;leave;991212;;;;;;
Staringer Claus;0;0;Besteuerung doppelt ansässiger Kapitalgesellschaften;0;0;0;3-85122-940-1;462;Druckerzeugnis;0;KD 115;Wien;Linde;1999;reimportFromSwissbib;991219;32419238X;0;0;https://www.swissbib.ch/Record/32419238X;;
Fischer Lutz;0;0;Internationaler Unternehmenskauf und -zusammenschluss im Steuerrecht;0;0;0;3-504-61500-1;149;Druckerzeugnis;mit den Auswirkungen des Steueränderungsgesetzes 1992- Forum der Internationalen Besteuerung, Bd. 1;LC 6117;Köln;Otto Schmidt;1992;bestcase;64198;;;;;;
Dellmann K.;0;0;Prozesskostenrechnung für Massnahmen- und Ressourcenentscheidungen in der Verwaltung;0;0;0;-;Mai 25;Druckerzeugnis;In: Hess-John (Hrsg.): Controlling in der öffentlichen Verwaltung;;;;;leave;991230;;;;;;
Kaufman Herbert;0;0;Are Government Organizations Immortal?;0;0;0;0-8157-4839-6;79;Druckerzeugnis;0;EA 148;Washington;Brookings Institution;1976;bestcase;132526;;;;;;
IFSt;0;0;IFSt-Brief 216;0;0;0;-;73;Druckerzeugnis;0;Z 153 216;Bonn;Institut Finanzen und Steuern;1982;journal;;;;;;;
Schmid Hans;0;0;Die staatliche Beschaffungspolitik;0;0;0;3.258.01612.7;276;Druckerzeugnis;Ein Beitrag zu den Einkaufsverfahren der öffentlichen Hand;BB 118;Bern;Paul Haupt;1972;bestcase;204661;;;;;;
Jarzyk-Dehne Friederike;0;0;Pauschalierungen im Steuerrecht;0;0;0;3-428-11081-1;294;Druckerzeugnis;Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke;KB 219;Berlin;Duncker & Humblot;2003;reimportFromSwissbib;991259;515926612;Schriften zum Steuerrecht- Band 77- hrsg. von Lang/Meincke;;https://www.swissbib.ch/Record/515926612;;
Dézsy Josef M.;0;0;Anreize und Steuerungsmöglichkeiten durch Preisvorgaben im Krankenhaus;0;0;0;0;50-59;Druckerzeugnis;Das Krankenhaus 2/1988;X Sep. 06;0;0;1988;leave;991264;;;;;;
Caiden Gerald E.;0;0;Administrative Reform Comes of Age;0;0;0;3.11.012645.1 Pb. 3.11.012895.0 Gewebe;316;Druckerzeugnis;0;EG 178;Berlin;de Gruyter;1991;HSB01duplicate;991271;71625;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=71625;;
Känzig Ernst;0;0;Die Eidgenössische Wehrsteuer;0;0;0;-;707;Druckerzeugnis;0;JC 101;Basel;Verlag für Recht und Gesellschaft;1962;bestcase;52397;;;;;;
Grossmann Benno;0;0;Die Besteuerung der Gewinne auf Geschäftsgrundstücken;0;0;0;-;407;Druckerzeugnis;Dissertation Nr. 656 der HSG;PE 0530 1;Romanshorn;Gerhard Ströbele, Offset- und Buchdruck;1977;bestcase;99399;;;;;;
Saile Peter;0;0;Das Recht der Ausgabenbewilligung der zürcherischen Gemeinden;0;0;0;0;214;Druckerzeugnis;0;GB 111;St. Gallen;Schweiz. Institut für Verwaltungskurse;1991;bestcase;41490;;;;;;
Walter Philip;0;0;Die steuerliche Gewinnberichtigung bei den Partnerwerken der Elektrizitätswirtschaft nach Art. 58 Abs. 3 DGB;0;0;0;3 258 05417 7;304;Druckerzeugnis;0;PN 107;Bern;Paul Haupt;1996;HSB01duplicate;991304;139119;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=139119;;
Ufer Jörg;0;0;Die demokratischen Grundlagen der funktionalen Finanzwirtschaften;0;0;0;-;105;Druckerzeugnis;0;AC 116;Berlin;Duncker & Humblot;1966;bestcase;358474;;;;;;
Känzig Ernst;0;0;Die steuerrechtliche Behandlung der Veräusserung von Unternehmungen und Unternehmungsanteilen;0;0;0;0;87-107;Druckerzeugnis;In: diverse, (Hrsg.): Festschrift für Irene Blumenstein - Überreicht zum 70. Geburtstag am 23. April 1966;;Bern;Genossenschaftsbuchdruckerei;;replacefromSwissbib;991319;103683313;0;0;https://www.swissbib.ch/Record/103683313;;
Kaldor Nicholas;0;0;The income burden of capital taxes;0;0;0;0;0;Druckerzeugnis;in. Chapman/S. J./Young Allyn A./andere: Readings in the Economics of Taxation;;London;George Allen & Unwin;;leave;991328;;;;;;
Friedmann Lewis B.;0;0;Budgeting Municipal Expenditures;0;0;0;0-275-09630-0;245;Druckerzeugnis;A Study in Comparative Policy Making;VB 149;London;Praeger;1975;leave;991336;;;;;;
Klein Friedrich;Barbey Günther;0;Bundesverfassungsgericht und Rückwirkung von Gesetzen;0;0;0;-;138;Druckerzeugnis;Institut 'Finanzen und Steuern', Heft 72;JD 101;Bonn;Stollfuss;1964;bestcase;358903;;;;;;
Prognos;0;0;Beurteilung der Einflüsse von Energiepreisänderungen auf die Energienachfrage und ihre prognostischen und energiepolitischen Konsequenzen;0;0;0;0;153;Druckerzeugnis;Studie der Prognos AG im Auftrag des Eidg. Amtes für Energiewirtschaft;AG 305;Basel;Prognos;1977;leave;991349;;;;;;
OECD;0;0;Bildung Kompakt;0;0;0;92-64-54405-4;371;Druckerzeugnis;OECD-Indikatoren;EJ 148;Paris;OECD;1995;replacefromSwissbib;991357;124948510;0;0;https://www.swissbib.ch/Record/124948510;;
Statistisches Bureau des Kantons Bern;0;0;Aufgaben der Finanzkontrolle;0;0;0;0;30;Druckerzeugnis;0;VE Sep. 04;Bern;Statistisches Bureau des Kanton Bern;1969;replacefromSwissbib;991363;115749039;0;0;https://www.swissbib.ch/Record/115749039;;
Giroud Charles;Purtschert Robert;Schwarz Peter;Das Freiburger Management-Modell für Nonprofit-Organisationen (NPO);0;0;0;3-258--05110-0;166;Druckerzeugnis;0;EF 208;Bern;Paul Haupt;1995;HSB01duplicate;991371;81355;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=81355;;
Nigro;Lloyd G.;Richardson;Foundations;0;0;0;0-934540-86-1;Mär 21;Druckerzeugnis;In: Ingraham-Patricia W.- Kettl-Donald F.: Agenda for Excellence: Public Service in America The Founder's Unsentimental View of Public Service in the American Regime;;Chatham;Chatham House;;leave;991380;;;;;;
IFSt;0;0;IFSt-Heft 059;Bd. 1;0;0;-;91;Druckerzeugnis;0;Z 152 059.1;Bonn;Stollfuss;1959;journal;;;;;;;
Weinsheimer Willi;0;0;Die Auslegung gegen den Wortlaut im Steuerrecht;0;0;0;0;94;Druckerzeugnis;0;JD 317;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer;1958;replacefromSwissbib;991394;75995654;0;0;https://www.swissbib.ch/Record/075995654;;
Friedrich-Wilhelm Behmenburg;0;0;Die langfristige Investitionsplanung der Gemeinden;0;0;0;0;97;Druckerzeugnis;0;EC 107;Düsseldorf;Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer;1962;HSB01duplicate;991401;359398;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=359398;;
Feurer P.;0;0;Der Euromarkt-seine Risiken und seine Rückwirkungen auf die schweizerische Wirtschaft;0;0;0;0;10-;Druckerzeugnis;Referat gehalten an der GV des Schweiz. Bankvereins, Bulletin Nr. 1, 1970;AK Sep. 324;Basel;Schweizerischer Bankverein;1970;reimportFromSwissbib;991406;515922684;0;0;https://www.swissbib.ch/Record/515922684;;
Krause-Junk Gerold;0;0;Automatismen versus Autonomie;0;0;0;-;59-111;Druckerzeugnis;In: Geyer Herbert/andere: Budgetpolitik im Wandel;;;;;leave;991413;;;;;;
Wilk Stefan;0;0;Die einkommensteuerrechtliche Behandlung von Auslandsverlusten;0;0;0;3-428-10040-9;282;Druckerzeugnis;Eine systematisch-methodische, verfassungs- und europarechtliche Untersuchung;KB 163;Berlin;Duncker & Humblot;2000;reimportFromSwissbib;991420;281395217;0;0;https://www.swissbib.ch/Record/281395217;;
Ebner Fritz;0;0;Die gesamtwirtschaftliche Förderung von Berggebieten;0;0;0;0;10;Druckerzeugnis;0;AG Sep. 67;Zürich;Gesellschaft zur Förderung der schweizerischen Wirtschaft;1973;replacefromSwissbib;991427;17153588X;0;0;https://www.swissbib.ch/Record/17153588X;;
Stauffer Hans-Ulrich;0;0;Die berufliche Vorsorge BVG / FZG / ZGB / OR;0;0;0;3 7255 3514 0;231;Druckerzeugnis;0;WB 237;Zürich;Schulthess;1996;HSB01duplicate;991434;119766;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=119766;;
Bürgisser-Peters Petra;0;0;Staatliche Altersvorsorge;Solidarität in jeder Hinsicht?;0;0;3.7190.1040.6;207-234;Druckerzeugnis;In: Frey René/Leu Robert (Hrsg.): Der Sozialstaat unter der Lupe;;Basel;Helbing & Lichtenhahn;1988;replacefromSwissbib;991443;350144494;0;0;https://www.swissbib.ch/Record/350144494;;
Brainin Josef;0;0;Bürger: Client - Server: Justiz;;;;0;56;Druckerzeugnis;Informationstechnik als Antrieb der Erneuerung;EA 286;Wien;Bundesministerium für Justiz;1997;notfound;;;;;;;
Giger Markus;0;0;Die Regionalisierung des öffentlichen Verkehrs;0;0;0;0;195;Druckerzeugnis;Dissertation HSG, Nr. 1240;AJ 359;Bern;Paul Haupt;1991;HSB01duplicate;991458;34822;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=34822;;
Gutting Bernd;0;0;Der Einfluss der Besteuerung auf die Entwicklung der Wohnungs- und Baulandmärkte;0;0;0;3.8204.9506.1;298;Druckerzeugnis;0;AJ 336;Frankfurt;Peter Lang;1986;HSB01duplicate;991465;204778;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=204778;;
Recktenwald Horst Claus;0;0;Das Kapitalbudget in finanz- und volkswirtschaftlicher Sicht;0;0;0;0;41;Druckerzeugnis;Recht und Staat;VB 107;Tübingen;J.C.B. Mohr;1962;bestcase;295395;;;;;;
Dällenbach Jean-François;Fiala Eduard;Hagemann Susanne;Die Dienstleistungsfunktion der Hochschulen;Eine Entdeckungsreise;0;0;Form 320.301d 1.87 A36093;325;Druckerzeugnis;0;EF 174;Bern;EDMZ;1986;reimportFromSwissbib;991476;403874807;0;0;https://www.swissbib.ch/Record/403874807;;
Maass Jürgen;0;0;Die Flexibilität der Staatsausgaben;0;0;0;3-531-02305-5;256;Druckerzeugnis;Ein Beitrag zur Theorie der öffentlichen Ausgabenpolitik - Forschungsberichte des Landes Nordrhein-Westfalen Nr. 2305;BF 112 2;Opladen;Westdeutscher Verlag;1973;replacefromSwissbib;991195;28329518X;0;0;https://www.swissbib.ch/Record/28329518X;;
Elektrowatt AG;0;0;Die Umweltbelastung im Energiebereich;0;0;0;0;55 + Anhang;Druckerzeugnis;0;AG 306;0;0;1976;leave;991489;;;;;;
Parsche Rüdiger;Seidel Bernhard;;Die Beseitigung von Steuergrenzen in der Europäischen Gemeinschaft;0;0;0;3.428.06387.2;461;Druckerzeugnis;Vorteile und Probleme einer Harmonisierung von Mehrwertsteuer und Verbrauchsteuern im europäischen Binnenmarkt;AK 1200;Berlin;Duncker & Humblot;1988;HSB01duplicate;991497;9980;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=9980;;
Nitzan Shmuel;Paroush Jacob;0;Collective Decision Making;0;0;0;0-521-30326-5;125;Druckerzeugnis;An Economic Outlook;AK 1134;Cambridge;Cambridge University Press;1985;HSB01duplicate;991503;201940;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=201940;;
Morandi Sandra;0;0;Die Begrenzung der Steuerlast durch verfassungsrechtliche Bindungen des schweizerischen Steuergesetzgebers;0;0;0;-;235;Druckerzeugnis;Diss. Nr. 2070 der HSG;JD 145;Bamberg;Difo-Druck;1997;bestcase;153723;;;;;;
Walcher Frank;0;0;Das Planungs- und Steuerungssystem der staatlichen Verkehrspolitik zur Regulierung der Verkehrsmärkte;0;0;0;3.428.04183.6;176;Druckerzeugnis;Zur Legitimation und Effizienz verkehrspolitischer Massnahmen in einer Marktwirtschaft;AJ 271;Berlin;Duncker & Humblot;1978;HSB01duplicate;991517;328328;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=328328;;
Hamermesh Daniel S.;0;0;Subsidies for Jobs in the Private Sector;0;0;0;0.8157.6892.3;87-122;Druckerzeugnis;In: Palmer-John L. (Hrsg.): Creating Jobs - Public Employment Programs and Wage Subsidies;;Washington;Brookings Institution;1978;leave;991525;;;;;;
Flechtheim Ossip K.;0;0;Zeitschrift für Zukunftsforschung 'Futurum';0;0;0;0;102-;Druckerzeugnis;0;VB 122;Meisenheim;Anton Hain;1969;leave;991535;;;;;;
Strasser Daniel;0;0;Die Finanzen Europas;0;0;0;92.825.2746.8;415;Druckerzeugnis;0;FB 132;Brüssel;EG;1982;replacefromSwissbib;991541;23085495;0;0;https://www.swissbib.ch/Record/023085495;;
Schädler Reinhard;0;0;Demokratische Tendenzen in der Pflege der Verwaltungswissenschaft;0;0;0;3 428 02637 3;159-179;Druckerzeugnis;In: Knöpfle Franz- und diverse andere: Demokratie und Verwaltung;;Berlin;Duncker & Humblot;;leave;991548;;;;;;
Meier-Schatz Christian J.;Forstmoser Peter;;Die GmbH und ihre Reform;Perspektiven aus der Praxis;0;0;3 7255 4016 0;141;Druckerzeugnis;0;WC 237;Zürich;Schulthess;2000;bestcase;208586;;;;;;
Pestalozzi Simone R.;0;0;Die mehrwertsteuerliche Behandlung von Leistungen im Zusammenhang mit Telekommunikation;0;0;0;-;222;Druckerzeugnis;Dissertation Nr. 2361 der Universität St.Gallen, Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften (HSG), zur Erlangung der Würde einer Doktorin der Rechtswissenschaft;QB 223 1;Bamberg;Difo-Druck OHG;2000;bestcase;215597;;;;;;
0;0;0;Die neue Steuerpraxis (NStP);Aktuelle Nummer;0;0;0;0;Druckerzeugnis;Monatsschrift für bernisches und eidgenössisches Steuerrecht;Z 100;Bern;Rub Media;aktuell;journal;;;;;;;
Lewis Wilfred J. R.;;0;Budget Concepts for Economic Analysis;0;0;0;0-8157-5237-7 paper 0-8157-5238-5 cloth;188;Druckerzeugnis;2.A.;VB 118 3;Washington;Brookings Institution;1972;leave;991577;;;;;;
Nasini Pietro;0;0;Die Steuerpolitik der EWG-Kommission;0;0;0;-;Sep 19;Druckerzeugnis;In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.;;;;;leave;991585;;;;;;
Borner Silvio;0;0;Die steuerliche Attraktivität Basels;0;0;0;0;28;Druckerzeugnis;Eine Analyse der Auswirkungen der Steuerrevision BS auf das Belastungsgefälle BS/BL;AJ 379;Basel;WWZ;1989;reimportFromSwissbib;991592;296680672;0;0;https://www.swissbib.ch/Record/296680672;;
Shubik Martin;0;0;Game-Theory in the Social Sciences;Vol. 2;0;0;0.262.19219.5;722;Druckerzeugnis;A Game-Theoretic Approach to Political Economy;AK 1141 2;Cambridge;M.I.T. Press;1984;HSB01duplicate;992556;65018;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=65018;;
Brüngger Heinrich;0;0;Die Nutzen-Kosten-Analyse als Instrument der Planung im Gesundheitswesen;0;0;0;3.7255.1585.9;228;Druckerzeugnis;Basler Dissertation, 1974;BG 126;Zürich;Schulthess;1974;HSB01duplicate;991609;362950;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=362950;;
Koslowski Peter;Kreuzer Philipp;;Chancen und Grenzen des Sozialstaats;0;0;0;3.16.344712.0;257;Druckerzeugnis;Staatstheorie, Politische Ökonomie, Politik;AF 200;Tübingen;J.C.B. Mohr;1983;HSB01duplicate;991615;204744;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=204744;;
Retzlaff Günter;0;0;Der Verwaltungssekretär;0;0;0;3-452-18667-9;94;Druckerzeugnis;Schriftenreihe zur Ausbildung der Beamten des mittleren Dienstes an Studieninstituten und Verwaltungsschulen;EA 171;Köln;Carl Heymanns;1979;replacefromSwissbib;991625;257588639;0;0;https://www.swissbib.ch/Record/257588639;;
Joseph Silvia;Vollrath Hans-Joachim;0;Anwendbarkeit des Internationalen Steuerrechts bei Einführung einer Ausgabensteuer;0;0;0;3-88259-801-8;144;Druckerzeugnis;0;LD 171;München;V. Florentz GmbH;1991;leave;991632;;;;;;
Becher Tony;0;0;Academic Tribes and Territories;0;0;0;0-335-09221-7;195;Druckerzeugnis;Intellectual enquiry and the Cultures of Disciplines;EJ 139;Buckingham;Open Univeristy Press;1989;replacefromSwissbib;991639;304665096;0;0;https://www.swissbib.ch/Record/304665096;;
Wittmann Walter;0;0;Die Finanzgesinnung des Bundes im Lichte der parlamentarischen Beratungen;Von der Weltwirtschaftskrise bis zur Gegenwart;0;0;0;165;Druckerzeugnis;0;AD 105;Zürich;Polygraphischer Verlag;1969;HSB01duplicate;991646;360458;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=360458;;
Gurtner Peter;0;0;Alternativmodelle der Wohnbauförderung Ein Systemvergleich zwischen der Objekt- und der Subjekthilfe. Dargestellt am Beispiel der neuen Wohnbauförderungskonzeption des Bundes sowie in- und ausländischer Individualhilfemethoden;0;0;0;0;451 + Anhang;Druckerzeugnis;Dissertation der Hochschule St. Gallen, Nr. 465;AJ 210;Bern;Eidg. Drucksachen- und Materialzentrale;1972;replacefromSwissbib;991655;282856986;0;0;https://www.swissbib.ch/Record/282856986;;
Gramlich Edward M.;0;0;Benefit-Cost Analysis of Government Programs;0;0;0;0.13.074757.2;265;Druckerzeugnis;0;BG 131;Englewood Cliffs;Prentice-Hall;1981;HSB01duplicate;991664;348427;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=348427;;
Haberler Gottfried;Bartel Karl;0;Das Inflationsproblem heute;Stabilisierung oder Anpassung;0;0;3.428.03264.0;206;Druckerzeugnis;0;AG 224;Berlin;Duncker & Humblot;1974;bestcase;309148;;;;;;
EG-Kommission;0;0;Die künftige Finanzierung der Gemeinschaft;0;0;0;0;37;Druckerzeugnis;Mitteilung der Kommission an den Rat und an das Europäische Parlament;FB 142;Brüssel;EG;1983;leave;991681;;;;;;
Brede Helmut;Buschor Ernst;0;Das neue Öffentliche Rechnungswesen;0;0;0;3-7890-3111-9;322;Druckerzeugnis;Betriebswirtschaftliche Beiträge zur Haushaltsreform in Deutschland, Österreich und der Schweiz Schriften zur öffentlichen Verwaltung und öffentlichen Wirtschaft, Bd. 133;VF 113;Baden-Baden;Nomos;1993;bestcase;69932;;;;;;
Ziegelschmidt Helmut;0;0;Die Beurteilung öffentlicher Investitionen unter Unsicherheit;0;0;0;0;229;Druckerzeugnis;Dissertation der Johann Wolfgang Goethe-Univesität zu Frankfurt/Main;AG 252;0;Offset;1976;HSB01duplicate;991697;364367;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=364367;;
Ritzmann Franz;0;0;Die Schweizer Banken;Geschichte - Theorie - Statistik;;0;3.258.02038.8;373;Druckerzeugnis;Habilitation der Uni Zürich, 1973;AK 0246;Bern;Paul Haupt;1973;HSB01duplicate;991705;198545;;0;https://aleph.unisg.ch/F?func=direct&doc_number=198545;;
Bucher Erwin;0;0;Das eidgenössische Schuldbuch;0;0;0;0;48;Druckerzeugnis;Inaugural-Dissertation zur Erlangung der Würde eines Doctor rerum politicarum der Rechts- und Wirtschaftswissenschaftlichen Fakultät der Universität Bern;DC 101;Zürich;Buchdruckerei Walter Plüss;1965;bestcase;359627;;;;;;
Marris Stephen N.;0;0;Decision-Making on Exchange Rates;0;0;0;0;11;Druckerzeugnis;0;AK Sep. 222;Washington;Brookings Institution;1970;leave;991718;;;;;;
Fluhr Karl Hans;0;0;Auch ohne Bürger sind wir sehr beschäftigt;0;0;0;3-593-35431-4;173;Druckerzeugnis;Von der Schwierigkeit die Verwaltung zu modernisieren;EG 196;Frankfurt;Campus;1995;bestcase;113502;;;;;;
Locher Peter;0;0;Die indirekte Teilliquidation im Recht der direkten Bundessteuer;0;0;0;3 7272 9220 2;219-238;Druckerzeugnis;In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger;;Bern;Stämpfli;;replacefromSwissbib;991729;260116440;0;0;https://www.swissbib.ch/Record/260116440;;
Bericht der Eidgenössischen Expertenkommission für die Neuordnung der Krankenversicherung;0;0;Bericht der Eidgenössischen Expertenkommission für die Neuordnung der Krankenversicherung vom 11. Februar 1972;0;0;0;0;283;Druckerzeugnis;0;AF 123;Bern;Eidgenössische Drucksachen- und Materialzentrale;1972;replacefromSwissbib;991738;517887479;0;0;https://www.swissbib.ch/Record/517887479;;
Tietmeyer Hans;0;0;Der Einfluss des Staates auf den Wettbewerb aus der Sicht des Bundesministeriums für Wirtschaft;0;0;0;3.428.06084.9;49-66;Druckerzeugnis;In: Röper Burkhardt (Hrsg.): Der Einfluss des Staates auf den Wettbewerb;;Berlin;Duncker & Humblot;;leave;991743;;;;;;
